org_name,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
WP_244023816.1,0.096986664,0.316969075,0.668865148,0.861833683,0.910899642,1,0.815788797,0.50601209,0.379607838,0.259047722,0.165747065,0.121507899,0.096577162,0.085782806,0.070152401
WP_243969199.1,0.14345641,0.29763061,0.608823288,0.809143804,0.86350784,1,0.800880169,0.497619745,0.386968375,0.284339297,0.203864191,0.168767368,0.151579105,0.139653452,0.128229382
WP_058194090.1,0.136456662,0.35143763,0.688555067,0.863902947,0.903357061,1,0.842904332,0.560342133,0.441710799,0.316893037,0.220346617,0.16829394,0.145649531,0.133303579,0.115319647
WP_243943056.1,0.147796984,0.335534953,0.650499727,0.849402965,0.931071439,1,0.805936982,0.514869562,0.39606753,0.291405635,0.206124243,0.16772432,0.145216614,0.136696041,0.121957489
WP_238286702.1,0.10977584,0.264967173,0.570145268,0.784235841,0.927576622,0.992266411,0.78356431,0.468116813,0.352061913,0.24993929,0.17396615,0.13518025,0.118001583,0.112570947,0.100147216
WP_012320541.1,0.128235242,0.30324931,0.618184026,0.823796104,0.887677799,1,0.802894605,0.491408504,0.374315367,0.263967853,0.184513808,0.145339374,0.123579647,0.113365335,0.100716269
PJI54718.1,0.137860862,0.305370306,0.609920466,0.823883886,0.907929138,1,0.802547156,0.485100115,0.374786153,0.274117296,0.191333654,0.156664875,0.135559418,0.128194479,0.118158733
WP_244007521.1,0.224996846,0.365797913,0.631483729,0.802975974,0.927826191,0.99143345,0.812291129,0.539345637,0.440021268,0.361703663,0.285543892,0.247506634,0.235423869,0.225106341,0.216487011
WP_091718805.1,0.112078101,0.30123818,0.628960052,0.824664386,0.91406863,1,0.822622596,0.516110709,0.400102598,0.281997257,0.189374727,0.143985865,0.12078036,0.110851503,0.09286019
MBE7203409.1,0.146394789,0.307973447,0.622598316,0.820913107,0.888287157,1,0.820772293,0.53282892,0.411568245,0.302177484,0.218773255,0.180940026,0.162921612,0.150970727,0.137032779
WP_244004386.1,0.161568913,0.31639185,0.625732999,0.818412135,0.881027447,1,0.828958804,0.526954207,0.417180621,0.312834561,0.229604197,0.187722292,0.17069467,0.166333937,0.146470574
WP_243968379.1,0.128113008,0.309876395,0.631019808,0.822963305,0.904518845,1,0.806172075,0.500655834,0.399593281,0.287961906,0.207038694,0.16589884,0.145921102,0.137305113,0.118654699
WP_147906398.1,0.147165469,0.305705623,0.628773545,0.839157866,0.911044018,1,0.803804912,0.488965345,0.372911489,0.270916823,0.200316918,0.163847274,0.151196045,0.139841199,0.135567005
MBE7198988.1,0.159531436,0.321452886,0.625590497,0.817954199,0.879592126,1,0.823565932,0.526961442,0.419542479,0.315373914,0.236820132,0.195031649,0.17532667,0.167355003,0.150404781
WP_163643186.1,0.287184097,0.343875105,0.659880155,0.843554599,0.897894594,1,0.863927054,0.587833252,0.560538198,0.50303377,0.445785905,0.437015857,0.449091181,0.479572335,0.441702667
