iterations,js_dist,trial,candidate_id,actual_score,predicted_mean,predicted_sd,algorithm
38,0.11293445407587784,16,acaryochloris_marina,3.779491877,4.952355389370492,0.7038690052641958,TreeGazer UCB
39,0.11139667544440245,16,pseudothermotoga_lettingae,5.390927013,4.979875115214494,0.6924718134170148,TreeGazer UCB
40,0.10993170842434855,16,chitinophaga_pinensis,5.230017392,5.086822013981315,0.6664637132982649,TreeGazer UCB
41,0.1065786308916034,16,persephonella_hydrogeniphila,5.406908552,5.109461928367359,0.6630608505283998,TreeGazer UCB
42,0.10557613022541411,16,faecalibaculum_rodentium,4.024825313,4.435009031643993,0.7980816512666237,TreeGazer UCB
43,0.10326084277209334,16,pseudarthrobacter_chlorophenolicus,5.711370503,5.053656715378329,0.6571634236520493,TreeGazer UCB
44,0.10331205214344256,16,paenibacillus_bovis,5.440688803,5.133244074980969,0.6503719345634338,TreeGazer UCB
45,0.10201033813378292,16,clostridium_botulinum,5.527156025,5.079647859325327,0.65958407998761,TreeGazer UCB
46,0.10034954708741196,16,desulfurella_acetivorans,5.41880606,5.078063049635476,0.6553221116881479,TreeGazer UCB
47,0.09973088014164952,16,parafannyhessea_umbonata,5.667776556,5.131319873146327,0.640931010080798,TreeGazer UCB
48,0.09960980377796932,16,acetohalobium_arabaticum,5.037710364,5.087005578910504,0.6460844477855375,TreeGazer UCB
49,0.09657476667327161,16,chrysiogenes_arsenatis,5.298928151,5.108033662822594,0.6605843793039038,TreeGazer UCB
50,0.09466439729262464,16,treponema_putidum,5.258961293,5.102431726187898,0.6469377191487313,TreeGazer UCB
51,0.09244080846689756,16,methylophaga_frappieri,5.412945099,5.102229709749258,0.6315139182176421,TreeGazer UCB
52,0.09207541195752154,16,kosmotoga_olearia,5.535276999,5.109932909036977,0.6344432210834893,TreeGazer UCB
53,0.09086100168889065,16,veillonella_seminalis,5.58520801,5.127143342209633,0.629875819755276,TreeGazer UCB
54,0.08997040739144312,16,methanococcoides_burtonii,4.200448884,5.135543557098173,0.6251975587784221,TreeGazer UCB
55,0.08053201462822643,16,methanosarcina_acetivorans,5.286810935,4.95923936987018,0.7188029903814117,TreeGazer UCB
56,0.07881074914929731,16,natranaerobius_thermophilus,5.521989604,5.102579076767538,0.6274126543555714,TreeGazer UCB
57,0.07808750775468211,16,heliomicrobium_modesticaldum,5.120140924,5.1945232845902245,0.6015134877443308,TreeGazer UCB
58,0.07342468596217352,16,flavobacterium_hydatis,5.196048915,5.138894863438232,0.6156485971416243,TreeGazer UCB
59,0.07051875562770869,16,bordetella_petrii,5.273511812,5.194567758419404,0.6142929831206728,TreeGazer UCB
60,0.06972469167131637,16,symbiobacterium_thermophilum,5.055113308,5.16829495314645,0.6130861563587098,TreeGazer UCB
61,0.0684878696743854,16,hydrogenobacter_thermophilus,5.647118403,5.122756722094635,0.6140314731569853,TreeGazer UCB
62,0.06750056831993569,16,streptomyces_coelicolor,5.520794484,5.16507747975889,0.6047714202888342,TreeGazer UCB
63,0.06650143270514561,16,moorella_thermoacetica,5.429134351,5.132425031945451,0.6187893697544564,TreeGazer UCB
64,0.06646206658067383,16,trichlorobacter_lovleyi,5.123311595,5.162871125788668,0.6039698874742708,TreeGazer UCB
65,0.06471567766730003,16,desulfurobacterium_atlanticum,5.798638672,5.166660713512842,0.5927494360874017,TreeGazer UCB
66,0.06835939425157644,16,petrotoga_mobilis,5.532981425,5.160232684233471,0.6118076500649555,TreeGazer UCB
67,0.0676232440234974,16,asanoa_hainanensis,4.021629975,4.677240211790985,0.6931558187283182,TreeGazer UCB
68,0.06559393526948178,16,virgibacillus_dokdonensis,5.711211548,5.202867427758371,0.5817639253802079,TreeGazer UCB
69,0.06780045916878817,16,dietzia_alimentaria,5.228056463,5.185437528817454,0.5859459521983996,TreeGazer UCB
70,0.06627908039822139,16,gluconacetobacter_diazotrophicus,5.341998323,4.952824385899425,0.6351311474436168,TreeGazer UCB
71,0.06596290134367153,16,kushneria_avicenniae,3.906135606,5.211132822827292,0.5890722089664866,TreeGazer UCB
72,0.06547306846516132,16,lysinibacillus_sphaericus,5.648809377,5.233325037134251,0.5737388197225654,TreeGazer UCB
73,0.06592446254466137,16,oleiphilus_messinensis,4.198789436,5.206953751314862,0.5715172017390836,TreeGazer UCB
74,0.06038693161140038,16,marinobacter_nauticus,5.484093229,4.668414704138147,0.7825916625273015,TreeGazer UCB
75,0.059423154366519806,16,pseudomonas_syringae,5.368487946,5.238013756512588,0.5649539749272212,TreeGazer UCB
76,0.05893582126041112,16,glaciecola_punicea,3.749879071,5.248635240112028,0.5532436716541115,TreeGazer UCB
77,0.05811896581622027,16,alteromonas_mediterranea,5.352618956,4.917886820274162,0.7691736021555715,TreeGazer UCB
78,0.05765010666268729,16,xanthomonas_campestris,5.063042964,5.144834514341113,0.5862733742895395,TreeGazer UCB
79,0.0555972220632875,16,halorhodospira_halophila,5.469681503,5.248912099900617,0.564231849426512,TreeGazer UCB
80,0.054807040686792534,16,verminephrobacter_aporrectodeae,3.187960241,5.2439017347146,0.5442027290145145,TreeGazer UCB
81,0.05802034588084161,16,polaromonas_naphthalenivorans,5.317724955,4.849013600154259,0.8039233524309325,TreeGazer UCB
82,0.05753393810760569,16,caldanaerobacter_subterraneus,5.196148511,5.225000906951252,0.5771694839052449,TreeGazer UCB
